time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
114688,518.14,5216,21,16.20048537,56,0.001498919063649211,82.07258605957031,-1.0123021041876392,-0.01726005784248149,1045,0.5541485548019409,0.019366857,168.0449010447452,0.1283665707236842,0.25
116736,526.55,5221,22,17.872617170000005,57,0.001498919063649211,155.3621368408203,-1.0370900811333406,-0.004869693580794295,1064,0.5072810649871826,0.011678722,341.4455014780948,0.030530427631578948,0.25
118784,545.31,5226,22,20.11767951,58,0.001498919063649211,17.038501739501953,-1.0235335132793377,-0.017076447203228446,1083,0.7365333437919617,0.025392286,49.57138350135401,0.07838199013157894,0.25
120832,551.39,5216,23,24.675441219999996,59,0.001498919063649211,34.16408920288086,-0.9354944825172424,-0.013381425285172699,1102,0.6037176251411438,0.016739689,86.75567585543583,0.08128597861842106,0.25
122880,566.21,5223,23,27.050003210000003,60,0.001498919063649211,34.42156219482422,-0.9741019543848539,-0.00949941575220835,1121,0.496401309967041,0.009435538,121.21252689863506,0.06270559210526316,0.25
124928,580.72,5228,23,29.509743590000003,61,0.001498919063649211,12.112574577331543,-1.0214184087358023,-0.007553592364083191,1140,0.7539421319961548,0.017963972,47.490862237779716,0.06830797697368421,0.25
126976,588.08,5228,24,30.232508930000005,62,0.001498919063649211,0.8607466816902161,-1.0418722190354999,-0.004852940455556994,1159,0.9322241544723511,0.015719887,3.696220612055377,0.15858861019736842,0.25
129024,595.19,5231,24,32.98006247,63,0.001498919063649211,0.8653147220611572,-1.0610314050787373,-0.013385183153379904,1178,0.8984499573707581,0.02286022,5.1642003827973415,0.15249794407894737,0.25
131072,608.16,5236,25,33.95521487,64,0.001498919063649211,1.1246534585952759,-1.0312092080712318,-0.007895483615452815,1197,0.8642063140869141,0.011931097,6.338736712148315,0.15406558388157895,0.25
133120,622.01,5239,25,37.88033318,65,0.001498919063649211,0.919116735458374,-1.035831084769023,-0.006306499132494393,1216,0.9678969979286194,0.014851247,3.2641746064549997,0.1176500822368421,0.25
135168,629.45,5244,25,41.09787813999999,66,0.001498919063649211,0.3903825283050537,-1.0619178947649504,-0.017365585853296676,1235,0.9834589958190918,0.02639993,1.7739573705353235,0.20199424342105263,0.25
137216,629.45,5230,26,42.94908458999999,67,0.001498919063649211,0.7192270755767822,-1.0374748608783673,-0.005102529631633507,1254,0.97340327501297,0.011817506,3.1819944781692406,0.13067948190789475,0.25
139264,635.27,5230,26,43.386075889999994,68,0.001498919063649211,0.6682122349739075,-1.0439430475234985,-0.011302097715854057,1273,0.978413999080658,0.02088744,1.9434257569281679,0.17467619243421054,0.25
141312,650.18,5210,27,46.77874772,69,0.001498919063649211,5.855676651000977,-1.0326919226269973,-0.0050851959508451585,1292,0.7840986847877502,0.009706672,32.81223880460388,0.02456825657894737,0.25
143360,656.89,5210,27,48.916626109999996,70,0.001498919063649211,1.2978839874267578,-1.0348277578228398,-0.006010371712220244,1311,0.9788697361946106,0.007544615,2.918491456853716,0.07612047697368421,0.25
145408,669.66,5207,27,50.15946879,71,0.001498919063649211,7.497257709503174,-1.0239817155034918,-0.0067597427895586745,1330,0.8239742517471313,0.01243888,14.4595270678401,0.049162212171052634,0.25
147456,692.63,5208,28,53.70912152000001,72,0.001498919063649211,1.1305830478668213,-1.0590715941629911,-0.006598448273603265,1349,0.9347279667854309,0.02651016,7.820902898907661,0.10824424342105263,0.25
149504,690.11,5212,28,54.63780498999999,73,0.001498919063649211,1.1648035049438477,-1.039446096671255,-0.014607590168261117,1368,0.9777476191520691,0.025188603,2.0975237531881583,0.16483347039473684,0.25
151552,690.11,5206,29,54.848538089999984,74,0.001498919063649211,0.758307933807373,-0.9951966385308065,-0.01580254675967521,1387,0.9110347032546997,0.015906865,13.173783120356108,0.060701069078947366,0.25
153600,690.11,5208,29,55.35724963,75,0.001498919063649211,0.6888567209243774,-1.0418535847412913,-0.008173514148342963,1406,0.9850493669509888,0.013199451,1.8575160095566197,0.0674085115131579,0.25
